Industrial and Engineering Chemistry,2,37.4305072,-122.1724084
State Teachers College,3,46.9185696,-98.0038717
American International College,1,42.1128526,-72.5571442
University of Missouri,7,38.9403808,-92.3277375
University of Oklahoma,1,35.2058936,-97.4457137
The Carnegie Institution of Washington,1,38.9095214,-77.0359681
Vassar Colege,1,41.686662,-73.894944
"Institute of Medical Physiology, University of Copenhagen",1,55.6760968,12.5683371
Atlanta University,1,34.062726,-84.1692299
Placer Junior College,1,-120.74369,-120.74369
University of Mississippi,1,34.3647402,-89.5384565
"University of Cincinnati, College of Medicine",1,39.1391325,-84.5037716
New York State Department of Health,2,43.0267182,-74.9459147
"Newcomb College, Tulane University",2,29.9418353,-90.1210574
Berkshire School,1,42.11676,-73.41623
"Washington University, School of Medicine",3,47.6502514,-122.3081844
Elon College,1,36.0982762,-79.5115433
Northwestern University,8,42.0539102,-87.6748758
University of Oslo,1,59.94025,10.7227
Russell Sage College,10,42.72805,-73.6929842
Canisius College,6,42.9248338,-78.8514848
Fisk University,1,36.167268,-86.8047659
Ohio Wesleyan University,3,40.29645,-83.06713
"Bureau of Laboratories, New York Dept of Health",1,-73.946167,-73.946167
Pennsgrove,1,39.7295581,-75.4679734
Yale University Medical School,1,41.3029812,-72.9315172
University of Rochester,19,43.1305531,-77.6260033
University of Delaware,1,39.6779505,-75.7506113
Catholic University of America,2,38.9368811,-76.998692
North Dakota Agricultural College,1,46.8206977,-100.7827515
"Osborn Botanical Laboratory, Yale University",2,41.3163244,-72.9223431
Moberly Junior College,1,39.4183689,-92.4382367
St. Luke's Hospital,1,35.89472,14.49444
Rockefeller Institute,9,40.8103192,-73.6062922
Wellesley College,12,42.2935733,-71.3059278
Rutgers University,5,40.74216,-74.17356
University of Chicago,13,41.78976,-87.59977
Agnes Scott College,1,33.76828,-84.29494
Vanderbilt University Medical School,3,36.1445512,-86.8002151
"Zoological Laboratory, Yale University",1,41.3163244,-72.9223431
Cornell University,11,42.4534492,-76.4735027
"Syracuse University, College of Medicine",5,43.0462667,-76.1402238
The University of Chicago,13,41.7886079,-87.5987133
Radcliffe College,11,51.5155148,-0.1388137
"Dept of Biological Sciences, Hunter College",1,40.7687018,-73.9648764
New Jersey State Teachers College,3,40.862089,-74.198956
Bennington College,3,42.9238904,-73.2415581
Iowa State College,4,40.61916,-95.12081
Gettysburg College,2,39.83593,-77.23165
Rockefeller Institute for Medical Research,16,101.699852,101.699852
University of Montreal,1,45.5056156,-73.6137592
Groton School,1,42.5945725,-71.5819292
Haverford College,1,40.01178,-75.30574
Connecticut College,5,41.3786877,-72.1045869
University of Kansas,1,38.8134,-97.60949
Washington University,29,47.23565,-122.5504
Indiana University,3,39.1691355,-86.5149053
Seton Hill College,11,40.3088677,-79.5558944
"Lilly Research Laboratories, Eli Lilly and Company",1,1.56502,1.56502
Union College,4,39.56755,-84.81607
Springfield College,3,39.9321994,-83.8144844
Vermont State Normal School,3,44.5588028,-72.5778415
University of Toronto,10,43.7847122,-79.1859984
Dartmouth College,14,43.7044406,-72.2886934
U S Fish and Wildlife Service,4,40.7194472,-74.5254942
Tufts College,3,42.4074843,-71.1190229
Emmanuel College,2,42.3415836,-71.10358
Newcomb College,1,34.1293728,-118.2114209
Memorial Hospital,3,30.287926,-81.601035
Queens College,4,40.7362895,-73.820286
Hamilton College,1,43.0530933,-75.4089154
